Stop_id,Stop_Name
177,BORSI
1770,CAFASSO CAP
1771,CASALE
1772,ARIOSTO
1773,PACCHIOTTI
1774,COSTITUZIONE EST
1775,CASALE N.25
1776,CASALE N.33
1777,COSTITUZIONE EST
1778,EUROPA
1779,DIAZ
178,BORSI
1780,MALONE
17801,LEINI (BAR FLORIAN)
1781,CIMITERO SAN MAURO
1782,CIMITERO SAN MAURO
1783,LA VALLE
1784,LA VALLE
1785,DELLE PIETRE
1786,DELLE PIETRE
1787,PESCATORI
1788,PESCATORI
1789,CROCE
179,LARGO TOSCANA
1790,CROCE
1791,CASALE N.431
1792,CASALE N.472
1793,MEISINO
1794,MEISINO
1795,BIAMINO
1796,BIAMINO
1797,PASINI
1798,PASINI
1799,SIGNORELLI
18,BERNINI EST
180,LARGO TOSCANA
1800,SIGNORELLI
1801,MARCO AURELIO
1802,MARCO AURELIO
1803,MONTEU DA PO
1804,MONTEU DA PO
1805,CARRARA
1806,CARRARA
1807,MOTOVELODROMO
18074,VINOVO (REY)
1808,MOTOVELODROMO
1809,CASALBORGONE
181,LARGO BORGARO
1810,CASALBORGONE
1811,BORROMINI
1812,GABETTI
1813,BRICCA
1814,BRICCA
1815,MONFERRATO
1816,CARDINAL MAURIZIO
1817,GRAN MADRE
1818,GRAN MADRE
1819,KENNEDY N.3
182,LARGO BORGARO
1820,MADDALENA N.44
1821,PONTE XI SETTEMBRE
1822,MADDALENA N.44
1823,SAGNA
1827,ALLAMANO
1828,FILADELFIA
1829,CARRERA EST
183,PIERO DELLA FRANCESCA
1830,VITTORIO EMANUELE II CAP
1834,FERRARA N.47
1835,FERRARA N.47
1836,PRIMULE NORD
1837,PRIMULE NORD
1838,MUGHETTI OVEST
1839,MOLISE
184,PIERO DELLA FRANCESCA
1840,MOLISE
1841,CIRENE
1842,CIRENE
1843,PELLERINA
1844,PELLERINA
1845,SERVAIS
1846,SERVAIS
1847,BIANCHI
1848,BIANCHI
1849,CARRERA
185,OSPEDALE AMEDEO DI SAVOIA
1850,CARRERA
1851,PACCHIOTTI
1852,VALGIOIE
1853,MASSAUA SUD
1854,MASSAUA NORD
1855,MASSAUA SUD
1856,CHAMBERY
1857,PRONDA
1858,PRONDA
1859,MONGINEVRO
186,OSPEDALE AMEDEO DI SAVOIA
1860,MONGINEVRO
1862,DON MURIALDO
1863,ANTICA DI GRUGLIASCO
1864,ANTICA DI GRUGLIASCO
1865,VEGLIA
1866,MONFALCONE
1867,FILADELFIA
1868,SEBASTOPOLI
1869,BOSTON
187,TASSONI
1870,BOSTON
1872,SEBASTOPOLI
1873,PUGLIA C.3
1874,FILADELFIA EST
1875,FILADELFIA EST
1876,BOSTON
1877,SAN MARINO
1878,COSENZA
1879,COSENZA
188,TASSONI
1880,DE CANAL
1881,DE CANAL
1882,DINA
1883,DINA
1884,MATTATOIO SUD
1886,POSTE E TELECOMUNICAZIONI
1887,CAIO MARIO CAP
1888,MATTATOIO SUD
1889,PLAVA
189,AVELLINO
1890,QUARELLO N.19
1891,PLAVA EST
1892,BURIASCO OVEST
1893,BURIASCO OVEST
1894,BURIASCO
1895,BURIASCO
1896,PRAMOLLO
1897,PRAMOLLO
1898,UNIONE SOVIETICA
1899,UNIONE SOVIETICA
190,AVELLINO
1900,ISSIGLIO
1901,NEGARVILLE OVEST
1902,ROVEDA
1903,PLAVA C.29
1904,PLAVA C.31
1905,DROSSO N.132
1906,DROSSO N.132
